Date,price_24k,price_22k,price_18k
2013-07-05,2346.56,2149.45,1759.92
2013-07-08,2391.03,2190.18,1793.27
2013-07-09,2430.95,2226.75,1823.22
2013-07-10,2410.1,2207.65,1807.57
2013-07-11,2464.76,2257.72,1848.57
2013-07-12,2457.82,2251.37,1843.37
2013-07-15,2471.72,2264.09,1853.79
2013-07-16,2482.04,2273.55,1861.53
2013-07-17,2436.08,2231.45,1827.06
2013-07-18,2450.09,2244.28,1837.57
2013-07-19,2483.94,2275.29,1862.95
2013-07-22,2549.32,2335.17,1911.99
2013-07-23,2563.36,2348.04,1922.52
2013-07-24,2535.49,2322.51,1901.62
2013-07-25,2526.4,2314.18,1894.8
2013-07-26,2505.34,2294.89,1879.0
2013-07-29,2522.39,2310.51,1891.8
2013-07-30,2529.02,2316.59,1896.77
2013-07-31,2565.77,2350.25,1924.33
2013-08-01,2555.53,2340.87,1916.65
2013-08-02,2546.45,2332.55,1909.84
2013-08-05,2558.76,2343.82,1919.07
2013-08-06,2511.53,2300.56,1883.65
2013-08-07,2513.32,2302.2,1884.99
2013-08-08,2579.09,2362.45,1934.32
2013-08-09,2563.2,2347.89,1922.4
2013-08-12,2603.53,2384.83,1952.65
2013-08-13,2606.85,2387.87,1955.13
2013-08-14,2635.53,2414.15,1976.65
2013-08-15,2683.06,2457.68,2012.29
2013-08-16,2701.64,2474.7,2026.23
2013-08-19,2744.83,2514.26,2058.62
2013-08-20,2818.73,2581.96,2114.05
2013-08-21,2792.01,2557.48,2094.01
2013-08-22,2851.86,2612.31,2138.9
2013-08-23,2890.25,2647.47,2167.69
2013-08-26,2869.44,2628.4,2152.08
2013-08-27,2936.47,2689.81,2202.36
2013-08-28,3050.28,2794.06,2287.71
2013-08-29,3059.42,2802.43,2294.57
2013-08-30,3024.84,2770.76,2268.63
2013-09-03,3019.34,2765.72,2264.51
2013-09-04,3065.93,2808.39,2299.44
2013-09-05,2925.57,2679.82,2194.17
2013-09-06,2942.86,2695.66,2207.15
2013-09-09,2908.74,2664.41,2181.56
2013-09-10,2809.47,2573.47,2107.1
2013-09-11,2789.76,2555.42,2092.32
2013-09-12,2701.56,2474.63,2026.17
2013-09-13,2676.24,2451.44,2007.18
2013-09-16,2681.69,2456.43,2011.27
